Electron 3
Positron 2
NuE 15
NuEBar 16
MuMinus 5
MuPlus 4
NuMu 17
NuMuBar 18
TauMinus 91
TauPlus 90
NuTau 92
NuTauBar 93
Gamma 1
Pi0 6
Rho0 27
K0Long 11
PiPlus 7
PiMinus 8
RhoPlus 25
RhoMinus 26
Eta 23
Omega 32
K0Short 12
KStar0 30
KStar0Bar 31
KPlus 9
KMinus 10
KStarPlus 28
KStarMinus 29
DPlus 59
DMinus 60
DStarPlus 78
DStarMinus 79
D0 71
D0Bar 72
DStar0 80
DStar0Bar 81
DsPlus 74
DsMinus 75
DStarSPlus 76
DStarSMinus 77
EtaC 73
Neutron 14
AntiNeutron -14
Delta0 42
Delta0Bar -42
Proton 13
AntiProton -13
DeltaPlus 41
DeltaMinusBar -41
DeltaPlusPlus 40
DeltaMinusMinusBar -40
SigmaMinus 36
SigmaPlusBar -36
Lambda0 39
Lambda0Bar -39
Sigma0 35
Sigma0Bar -35
SigmaPlus 34
SigmaMinusBar -34
XiMinus 38
XiPlusBar -38
Xi0 37
Xi0Bar -37
OmegaMinus 49
OmegaPlusBar -49
SigmaC0 86
SigmaC0Bar -86
SigmaStarC0 96
SigmaStarC0Bar -96
LambdaCPlus 89
LambdaCMinusBar -89
XiC0 88
XiC0Bar -88
SigmaCPlus 85
SigmaCMinusBar -85
SigmaStarCPlus 95
SigmaStarCMinusBar -95
SigmaCPlusPlus 84
SigmaCMinusMinusBar -84
SigmaStarCPlusPlus 94
SigmaStarCMinusMinusBar -94
XiCPlus 87
XiCMinusBar -87
OmegaC0 99
OmegaC0Bar -99
Jpsi 83
#Unknown 0
