# ID        name        A       Z
1000010010  hydrogen    1       1
1000010020  deuterium   2       1
1000010030  tritium     3       1
1000020040  helium      4       2
1000020030  helium3     3       2
1000030070  lithium7    7       3
1000040090  beryllium9  9       4
1000050110  boron11     11      5
1000060120  carbon      12      6
1000060130  carbon13    13      6
1000070140  nitrogen    14      7
1000080160  oxygen      16      8
1000080180  fluor       18      9
1000100210  neon21      21      10
1000100220  neon        22      10
1000160330  sulphur     33      16
1000180400  argon       40      18
1000280560  iron        56      28
1000541280  xenon       128     54
1000741840  tungsten    184     74
1000791970  gold        197     79
1000822080  lead        208     82
1000862220  radon       222     86
1000922380  uranium     238     92
