# input file for particle conversion to/from SIBYLL
# the format of this file is: "corsika-identifier" "sibyll-id" "can-interact-in-sibyll" "cross-section-type"

# The unknown particle is to handle all particles that are not known to SIBYLL.
# It is important that sibyll-id does not overlap with any existing sibyll particle!
# Be careful
Unknown                  0       0       CrossSectionUnknown

# Here is the list of particles known to sibyll 
Electron                 3       0       CrossSectionUnknown
Positron                 2       0       CrossSectionUnknown
NuE                      15      0       CrossSectionUnknown
NuEBar                   16      0       CrossSectionUnknown
MuMinus                  5       0       CrossSectionUnknown
MuPlus                   4       0       CrossSectionUnknown
NuMu                     17      0       CrossSectionUnknown
NuMuBar                  18      0       CrossSectionUnknown
TauMinus                 91      0       CrossSectionUnknown
TauPlus                  90      0       CrossSectionUnknown
NuTau                    92      0       CrossSectionUnknown
NuTauBar                 93      0       CrossSectionUnknown
Photon                   1       0       CrossSectionUnknown
Pi0                      6       1       Pion
Rho0                     27      1       CrossSectionUnknown
K0Long                   11      1       Kaon
K0                       21      0       CrossSectionUnknown
K0Bar                    22      0       CrossSectionUnknown
PiPlus                   7       1       Pion
PiMinus                  8       1       Pion
RhoPlus                  25      0       CrossSectionUnknown
RhoMinus                 26      0       CrossSectionUnknown
Eta                      23      0       CrossSectionUnknown
EtaPrime                 24      0       CrossSectionUnknown
Pi1300Plus               62      0       CrossSectionUnknown
Pi1300Minus              63      0       CrossSectionUnknown
Pi1300_0                 61      0       CrossSectionUnknown
Omega                    32      0       CrossSectionUnknown
K0Short                  12      1       Kaon
KStar0                   30      0       CrossSectionUnknown
KStar0Bar                31      0       CrossSectionUnknown
KPlus                    9       1       Kaon
KMinus                   10      1       Kaon
KStarPlus                28      0       CrossSectionUnknown
KStarMinus               29      0       CrossSectionUnknown
KStar0_1430_0            66      0       CrossSectionUnknown
KStar0_1430_0Bar         67      0       CrossSectionUnknown
KStar0_1430_Plus         64      0       CrossSectionUnknown
KStar0_1430_Minus        65      0       CrossSectionUnknown
DPlus                    59      1       Kaon
DMinus                   60      1       Kaon
DStarPlus                78      0       CrossSectionUnknown
DStarMinus               79      0       CrossSectionUnknown
D0                       71      1       Kaon
D0Bar                    72      1       Kaon
DStar0                   80      0       CrossSectionUnknown
DStar0Bar                81      0       CrossSectionUnknown
DsPlus                   74      1       Kaon
DsMinus                  75      1       Kaon
DStarSPlus               76      0       CrossSectionUnknown
DStarSMinus              77      0       CrossSectionUnknown
EtaC                     73      0       CrossSectionUnknown
